"","YMD","dp_sizegroup","ion","GR_median","GR_mean","GR_sd","eventID","score_over_10","airmass_change_flag"
"269","2018-05-07","(20,60]","positive",13.3,11.9,2.84,"Pos69",1,1
"270","2018-05-10","[1,3]","negative",4.52,4.54,0.128,"Neg71",9,0
"271","2018-05-10","[1,3]","positive",5.72,5.73,0.0744,"Pos71",6,0
"272","2018-05-10","(3,7]","negative",5.31,5.29,0.262,"Neg71",9,0
"273","2018-05-10","(3,7]","positive",6.37,6.42,0.382,"Pos71",6,0
"274","2018-05-10","(7,20]","negative",7.58,7.75,1.46,"Neg71",9,0
"275","2018-05-10","(7,20]","positive",8.47,8.45,0.69,"Pos71",6,0
"276","2018-05-10","(20,60]","negative",11.9,11.8,0.609,"Neg71",9,0
"277","2018-05-10","(20,60]","positive",10.3,10.2,0.297,"Pos71",6,0
"278","2018-05-11","[1,3]","negative",9.49,9.49,0.0244,"Neg73",4,1
"279","2018-05-11","[1,3]","positive",3.79,3.98,0.867,"Pos73",4,1
"280","2018-05-11","(3,7]","negative",13.9,13.3,3.41,"Neg73",4,1
"281","2018-05-11","(3,7]","positive",8.67,9.01,2.21,"Pos73",4,1
"282","2018-05-11","(7,20]","negative",15,16.1,3.54,"Neg73",4,1
"283","2018-05-11","(7,20]","positive",19.5,19.7,3.77,"Pos73",4,1
"284","2018-05-11","(20,60]","negative",48.3,44.5,13.2,"Neg73",4,1
"285","2018-05-11","(20,60]","positive",36.5,35.8,4.8,"Pos73",4,1
"286","2018-05-12","[1,3]","negative",7.33,7.34,0.0619,"Neg74",5,2
"287","2018-05-12","(3,7]","negative",7.9,7.94,0.329,"Neg74",5,2
"288","2018-05-12","(7,20]","negative",10.7,10.5,0.969,"Neg74",5,2
"289","2018-05-13","(3,7]","positive",3.75,3.75,8e-06,"Pos75",3,0
"290","2018-05-13","(7,20]","positive",3.75,3.75,0.000108,"Pos75",3,0
"291","2018-05-14","[1,3]","negative",1.9,1.91,0.0178,"Neg77",7,0
"292","2018-05-14","(3,7]","negative",2.05,2.05,0.0674,"Neg77",7,0
"293","2018-05-14","(7,20]","negative",2.23,2.22,0.0233,"Neg77",7,0
"294","2018-05-15","[1,3]","negative",6.11,6.12,0.0357,"Neg78",7,2
"295","2018-05-15","[1,3]","positive",5.96,5.98,0.0402,"Pos78",7,2
"296","2018-05-15","(3,7]","negative",6.75,6.78,0.39,"Neg78",7,2
"297","2018-05-15","(3,7]","positive",6.67,6.62,0.299,"Pos78",7,2
"298","2018-05-15","(7,20]","negative",8.02,7.94,0.2,"Neg78",7,2
"299","2018-05-15","(7,20]","positive",5.69,5.8,0.613,"Pos78",7,2
"300","2018-05-15","(20,60]","positive",14.1,14.1,4.49,"Pos78",7,2
"301","2018-05-16","[1,3]","negative",4.85,4.86,0.0366,"Neg79",6,1
"302","2018-05-16","(3,7]","negative",5.09,5.1,0.0961,"Neg79",6,1
"303","2018-05-16","(7,20]","negative",5.42,5.4,0.0593,"Neg79",6,1
"304","2018-05-17","[1,3]","negative",2.29,2.45,1.04,"Neg80",6,0
"305","2018-05-17","[1,3]","positive",1.96,2.1,0.469,"Pos80",4,0
"306","2018-05-17","(3,7]","negative",6.68,6.58,1.1,"Neg80",6,0
"307","2018-05-17","(3,7]","positive",5.01,5.43,1.8,"Pos80",4,0
"308","2018-05-17","(7,20]","negative",9.21,9.12,0.32,"Neg80",6,0
"309","2018-05-17","(7,20]","positive",11.7,11.5,0.655,"Pos80",4,0
"310","2018-05-17","(20,60]","negative",7.93,8,0.269,"Neg80",6,0
"311","2018-05-17","(20,60]","positive",11.3,11.3,0.0769,"Pos80",4,0
"312","2018-05-18","[1,3]","negative",7.25,7.31,0.412,"Neg83",6,1
"313","2018-05-18","(3,7]","negative",8.83,8.76,0.239,"Neg83",6,1
"314","2018-05-18","(3,7]","positive",8.76,7.36,8.45,"Pos83",5,1
"315","2018-05-18","(7,20]","negative",9.07,9.07,0.0151,"Neg83",6,1
"316","2018-05-18","(7,20]","positive",18.9,18.9,0.256,"Pos83",5,1
"317","2018-05-19","[1,3]","negative",5.18,5.16,0.0515,"Neg84",5,1
"318","2018-05-19","[1,3]","positive",3.28,3.28,0.0232,"Pos84",5,1
