Year,Month,Day,Hour,Minute,Second,HYY_DMPS.tconc
2017,6,4,4,30,0,3417.29
2017,6,4,4,40,0,3332.46
2017,6,4,4,50,0,3346.62
2017,6,4,5,0,0,3281.47
2017,6,4,5,10,0,3195.07
2017,6,4,5,20,0,3238.45
2017,6,4,5,30,0,3847.71
2017,6,4,5,40,0,3964.93
2017,6,4,5,50,0,3642.16
2017,6,4,6,0,0,3596.3
2017,6,4,6,10,0,3623.98
2017,6,4,6,20,0,3534.18
2017,6,4,6,30,0,3588.56
2017,6,4,6,40,0,3607.82
2017,6,4,6,50,0,3508.36
2017,6,4,7,0,0,3546.66
2017,6,4,7,10,0,3548.32
2017,6,4,7,20,0,3652.76
2017,6,4,7,30,0,3873.98
2017,6,4,7,40,0,3686.25
2017,6,4,7,50,0,3632.08
2017,6,4,8,0,0,3512.55
2017,6,4,8,10,0,3431.38
2017,6,4,8,20,0,3387.01
2017,6,4,8,30,0,2925.69
2017,6,4,8,40,0,3237.92
2017,6,4,8,50,0,3107.41
2017,6,4,9,0,0,2977.13
2017,6,4,9,10,0,2767.86
2017,6,4,9,20,0,2850.39
2017,6,4,9,30,0,2993.36
2017,6,4,9,40,0,3119.85
2017,6,4,9,50,0,3291.04
2017,6,4,10,0,0,3345.12
2017,6,4,10,10,0,3471.21
2017,6,4,10,20,0,3387.09
2017,6,4,10,30,0,3373.1
2017,6,4,10,40,0,3583.6
2017,6,4,10,50,0,3539.76
2017,6,4,11,0,0,3786.73
2017,6,4,11,10,0,3872.61
2017,6,4,11,20,0,5011.04
2017,6,4,11,30,0,6134.7
2017,6,4,11,40,0,7076.67
2017,6,4,11,50,0,8231.3
2017,6,4,12,0,0,8492.14
2017,6,4,12,10,0,7734.3
2017,6,4,12,20,0,7755.35
2017,6,4,12,30,0,6810.01
2017,6,4,12,40,0,6196.31
2017,6,4,12,50,0,4345.29
2017,6,4,13,0,0,3763.26
2017,6,4,13,10,0,3829.03
2017,6,4,13,20,0,4083.43
2017,6,4,13,30,0,4065.78
2017,6,4,13,40,0,3486.45
2017,6,4,13,50,0,3512.66
2017,6,4,14,0,0,3669.12
2017,6,4,14,10,0,3938.34
2017,6,4,14,20,0,3909.1
2017,6,4,14,30,0,4194.25
2017,6,4,14,40,0,4789.02
2017,6,4,14,50,0,4349.81
2017,6,4,15,0,0,4288.9
2017,6,4,15,10,0,4420.23
2017,6,4,15,20,0,4729.74
2017,6,4,15,30,0,5477.07
2017,6,4,15,40,0,6799.17
2017,6,4,15,50,0,6363.45
2017,6,4,16,0,0,6826.16
2017,6,4,16,10,0,7349.56
2017,6,4,16,20,0,7077.8
2017,6,4,16,30,0,6505.81
2017,6,4,16,40,0,6609.45
2017,6,4,16,50,0,6508.96
2017,6,4,17,0,0,5753.39
2017,6,4,17,10,0,5771.02
2017,6,4,17,20,0,5623.52
2017,6,4,17,30,0,5460.45
2017,6,4,17,40,0,5395.41
2017,6,4,17,50,0,5434.57
2017,6,4,18,0,0,5377.6
2017,6,4,18,10,0,5339.29
2017,6,4,18,20,0,5329.38
2017,6,4,18,30,0,5347.71
2017,6,4,18,40,0,4883.04
2017,6,4,18,50,0,4725.81
2017,6,4,19,0,0,4398.71
2017,6,4,19,10,0,4510.66
2017,6,4,19,20,0,4144.06
2017,6,4,19,30,0,4070.82
2017,6,4,19,40,0,3963.37
2017,6,4,19,50,0,4006.35
2017,6,4,20,0,0,4312.15
2017,6,4,20,10,0,4175.96
2017,6,4,20,20,0,4240.32
2017,6,4,20,30,0,3796.12
2017,6,4,20,40,0,3802.5
2017,6,4,20,50,0,3669.24
2017,6,4,21,0,0,3590.92
2017,6,4,21,10,0,3747.8
2017,6,4,21,20,0,4426.84
2017,6,4,21,30,0,4645.4
2017,6,4,21,40,0,4718.57
2017,6,4,21,50,0,4499.7
2017,6,4,22,0,0,4402.86
2017,6,4,22,10,0,4404.0
2017,6,4,22,20,0,4371.68
2017,6,4,22,30,0,4051.32
2017,6,4,22,40,0,3904.61
2017,6,4,22,50,0,3857.46
2017,6,4,23,0,0,3637.4
2017,6,4,23,10,0,3585.56
2017,6,4,23,20,0,3687.28
2017,6,4,23,30,0,3391.73
2017,6,4,23,40,0,3347.59
2017,6,4,23,50,0,3253.72
2017,6,5,0,0,0,3386.76
2017,6,5,0,10,0,3289.59
2017,6,5,0,20,0,3305.17
2017,6,5,0,30,0,3161.68
2017,6,5,0,40,0,3145.23
2017,6,5,0,50,0,3110.0
2017,6,5,1,0,0,2973.65
2017,6,5,1,10,0,3059.03
2017,6,5,1,20,0,2949.27
2017,6,5,1,30,0,2868.77
2017,6,5,1,40,0,2824.29
2017,6,5,1,50,0,2921.2
2017,6,5,2,0,0,2776.92
2017,6,5,2,10,0,2712.18
2017,6,5,2,20,0,2805.38
2017,6,5,2,30,0,2781.26
2017,6,5,2,40,0,2832.51
2017,6,5,2,50,0,2704.02
2017,6,5,3,0,0,2704.84
